,attractive,calm,capable,diligent,extroverted,friendly,happy,healthy,high-social-status,humble,intelligent,kind,masculine,powerful,responsible,successful,trustworthy,warm
Google_1_Kristy Nickel_1_oval.jpg,6.266666666666667,7.833333333333333,6.166666666666667,5.529411764705882,6.4,7.25,6.928571428571429,7.833333333333333,5.909090909090909,5.769230769230769,5.214285714285714,6.545454545454546,2.1333333333333333,5.4375,6.461538461538462,5.529411764705882,6.588235294117647,6.7272727272727275
Google_1_John Thomas_15_oval.jpg,2.769230769230769,3.3636363636363638,3.6666666666666665,2.857142857142857,3.375,3.3076923076923075,2.857142857142857,3.272727272727273,2.5833333333333335,5.0,2.7142857142857144,2.6666666666666665,7.157894736842105,4.409090909090909,4.181818181818182,2.5625,4.533333333333333,3.272727272727273
Google_1_William Shelton_13_oval.jpg,4.0,6.666666666666667,4.15,5.857142857142857,4.666666666666667,5.916666666666667,4.583333333333333,3.7857142857142856,4.3076923076923075,6.066666666666666,4.444444444444445,6.705882352941177,3.5,3.0833333333333335,6.153846153846154,4.0,6.733333333333333,5.1
Alan_Gamerson_7_oval.jpg,6.0,6.733333333333333,6.0588235294117645,6.785714285714286,4.454545454545454,5.0,5.1,6.0625,5.181818181818182,6.75,6.066666666666666,6.857142857142857,2.7,5.25,6.785714285714286,5.933333333333334,6.142857142857143,5.7
Google_1_Gerald Warner_17_oval.jpg,4.333333333333333,7.1,5.384615384615385,6.6923076923076925,6.928571428571429,6.857142857142857,7.230769230769231,6.473684210526316,4.083333333333333,6.7272727272727275,5.230769230769231,6.7,3.3,3.7333333333333334,6.1,5.666666666666667,5.769230769230769,5.714285714285714
Google_1_Adrienne Ramirez_9_oval.jpg,5.333333333333333,4.266666666666667,4.842105263157895,4.866666666666666,5.363636363636363,3.5833333333333335,3.7,4.166666666666667,6.166666666666667,3.0625,4.172413793103448,3.6470588235294117,4.294117647058823,5.222222222222222,3.6,5.7,3.0,4.125
Google_1_Andrew Eckert_15_oval.jpg,4.357142857142857,6.8,6.4,6.578947368421052,6.181818181818182,7.0,7.1,6.666666666666667,5.928571428571429,5.090909090909091,6.0,7.230769230769231,6.866666666666666,5.923076923076923,6.1,6.5,6.066666666666666,7.090909090909091
Google_1_Jose Dvorak_7_oval.jpg,2.6363636363636362,5.4,6.578947368421052,6.384615384615385,5.6,6.333333333333333,5.428571428571429,4.176470588235294,6.0,5.0,6.111111111111111,5.454545454545454,7.266666666666667,6.5625,6.7,6.071428571428571,4.928571428571429,5.5
Google_1_Tanya Boudreau_10_oval.jpg,4.7,6.076923076923077,5.6923076923076925,6.0,3.7,5.384615384615385,4.75,6.1875,5.375,5.181818181818182,5.416666666666667,7.0,5.764705882352941,4.625,5.833333333333333,5.375,5.285714285714286,4.615384615384615
Google_1_Brian Kellner_3_oval.jpg,5.235294117647059,5.0,6.9,6.833333333333333,3.1578947368421053,4.357142857142857,3.9166666666666665,6.888888888888889,6.5,3.4545454545454546,7.714285714285714,4.647058823529412,6.866666666666666,6.823529411764706,6.5,5.571428571428571,5.0,4.5
Google_1_Albert Fortunato_7_oval.jpg,4.4375,6.545454545454546,6.2,6.8125,4.923076923076923,4.9411764705882355,6.4,5.928571428571429,6.173913043478261,5.7,6.571428571428571,6.4375,7.733333333333333,7.352941176470588,6.8,6.846153846153846,6.6923076923076925,6.333333333333333
Google_1_Mike Spruill_3_oval.jpg,4.375,6.235294117647059,6.571428571428571,5.294117647058823,4.571428571428571,5.7272727272727275,5.818181818181818,6.3,5.6923076923076925,4.666666666666667,5.666666666666667,5.7,7.083333333333333,5.461538461538462,5.5625,5.315789473684211,6.416666666666667,5.230769230769231
Google_1_Jeanne Meeker_3_oval.jpg,2.875,6.416666666666667,4.388888888888889,4.3,4.857142857142857,6.1875,6.5,4.421052631578948,4.3076923076923075,6.7,3.6842105263157894,5.2727272727272725,3.4782608695652173,4.0,6.454545454545454,4.733333333333333,5.0,6.833333333333333
Google_1_Joanna Silvas_3_oval.jpg,7.333333333333333,5.6875,5.066666666666666,4.75,6.071428571428571,4.818181818181818,4.8,7.1875,6.0,3.5,5.833333333333333,4.0,2.4285714285714284,5.55,4.9,5.6875,4.538461538461538,5.2727272727272725
Google_1_Sally Amundson_1_oval.jpg,4.642857142857143,7.066666666666666,6.083333333333333,7.0,7.615384615384615,7.357142857142857,7.714285714285714,6.764705882352941,6.428571428571429,5.846153846153846,6.1875,7.1,3.9411764705882355,5.3076923076923075,6.846153846153846,5.285714285714286,6.636363636363637,7.642857142857143
Google_1_John Woolf_11_oval.jpg,5.384615384615385,3.642857142857143,6.090909090909091,4.583333333333333,5.1,2.533333333333333,3.0833333333333335,6.333333333333333,6.722222222222222,2.6363636363636362,5.0,3.357142857142857,6.875,5.642857142857143,3.1818181818181817,5.384615384615385,4.0,4.0
Google_1_Amanda Hooten_17_oval.jpg,4.928571428571429,5.090909090909091,4.333333333333333,4.277777777777778,8.583333333333334,8.153846153846153,8.3125,6.75,5.090909090909091,5.25,4.75,7.9,6.166666666666667,3.3333333333333335,3.8181818181818183,5.2,4.833333333333333,5.7
Google_1_Shelly Spiller_1_oval.jpg,3.5555555555555554,6.2,5.4,5.230769230769231,5.357142857142857,5.923076923076923,5.444444444444445,3.727272727272727,4.4,6.384615384615385,4.3076923076923075,5.545454545454546,4.384615384615385,4.1875,5.444444444444445,5.2,5.142857142857143,5.454545454545454
Google_1_David Towns_3_oval.jpg,4.235294117647059,6.833333333333333,6.0,4.75,6.923076923076923,6.9,7.2727272727272725,5.466666666666667,5.923076923076923,6.538461538461538,6.65,6.2,7.958333333333333,6.076923076923077,6.7272727272727275,6.916666666666667,6.615384615384615,6.909090909090909
