,id,username,age,gender,hispanic,number,race,movie,country,friend,country_list
257,268,A1LJ4WYGNSSQPQ,40-49,Female,No,4,White,1-10,none,50+,
258,269,A114BI84P0M4R6,30-39,Female,No,4,White,none,none,1-10,
259,270,A2YQMTLGKL2702,20-29,Male,No,4,White,1-10,none,11-50,
260,271,A2MHPG30DV35JM,30-39,Female,No,4,White,1-10,none,1-10,
261,272,A32ZAPQ8P5VYJW,20-29,Male,No,4,White,1-10,none,50+,
262,273,A1SUUTWO9RWT4F,40-49,Male,No,4,White,none,none,50+,
263,274,ACTT78998T2KL,30-39,Male,No,4,Black,1-10,none,50+,
264,275,A2TKHXY755FAM,40-49,Female,No,4,White,none,none,1-10,
265,276,A2VNR6984SDFGQ,40-49,Female,No,4,White,none,none,50+,
266,277,A1P458P1C6JOXP,40-49,Male,No,4,White,1-10,none,1-10,
267,278,A2GSIQYXC3SFMI,30-39,Female,No,4,Asian,1-10,none,1-10,
268,279,A2MMTQYSDUO7P,40-49,Female,No,4,White,10+,none,50+,
269,280,A3U7UEOKHNV9QQ,30-39,Female,No,4,Asian,10+,1-10,11-50,India 
270,281,A1TIFA6NG8AURO,30-39,Male,No,4,White,1-10,none,1-10,
271,282,A2OE7YWKTKMQSF,30-39,Female,No,4,White,1-10,none,11-50,
272,283,A3UK3YOH0WRUM,30-39,Female,No,4,White,none,none,none,
273,284,A6IGDNVGUW8XD,20-29,Female,No,4,White,none,none,50+,
274,285,A1LDNSS26VJNRV,40-49,Female,No,4,White,10+,none,50+,
275,286,A17PJ0GVFQX0DN,30-39,Female,No,4,White,none,none,50+,
276,287,A1F2VHKMDWEA2X,20-29,Female,Yes,4,Natives,1-10,none,50+,
277,288,A17JKGM4LAAMVB,30-39,Female,No,4,White,10+,none,1-10,
278,289,A1F2VHKMDWEA2X,20-29,Female,Yes,4,Natives,1-10,none,50+,
279,290,A3NCTD17ZTPBBJ,20-29,Female,Yes,4,White,10+,11-30,50+,Japan
280,291,A3U31QRY8MAIRU,40-49,Female,No,4,Asian,10+,30+,50+,India
281,292,A13JQTLPWXZD6L,20-29,Male,No,4,White,10+,30+,1-10,Vietnam
282,293,A1MJX6Q6BTWA6,40-49,Female,No,4,White,1-10,none,50+,
283,294,A7XOIQCYY2YCO,60+,Female,No,4,White,none,none,11-50,
284,295,A17U49EH2MCPG5,20-29,Female,No,4,Black,1-10,none,50+,
285,296,AC5M9OJNIBKAC,20-29,Female,No,4,White,1-10,none,11-50,
286,297,AMK19K6J5OH3C,20-29,Male,No,4,White,1-10,none,11-50,
287,298,A1AFK7CIGJ8R61,30-39,Female,Yes,4,White,none,none,50+,
288,299,A6T77NZT2OVOX,40-49,Female,No,4,White,1-10,none,11-50,
289,300,AC5M9OJNIBKAC,20-29,Female,No,4,White,1-10,none,11-50,
290,301,A3K78ZN2UFJ2W7,30-39,Female,No,4,White,1-10,none,50+,
